timestamp,ax,ay,az,gx,gy,gz,activity
182846, 0.000000, 0.770264, 0.511719, 0.640503, -7.141115, -63.049332, 62.622086,left_up
182866, 0.000000, 0.829712, 0.442505, 0.537964, 1.159668, -76.477051, 64.025879,left_up
182886, 0.000000, 0.864746, 0.381714, 0.450439, -3.479005, -83.618164, 60.058609,left_up
182906, 0.000000, 0.880493, 0.336548, 0.370239, -13.793949, -86.303711, 54.565445,left_up
182926, 0.000000, 0.875977, 0.250366, 0.300781, -25.695808, -86.181641, 50.476089,left_up
182946, 0.000000, 0.848633, 0.110840, 0.206665, -1.281738, -78.063965, 40.100098,left_up
182966, 0.000000, 0.843140, 0.111450, 0.154907, 22.399910, -70.312500, 34.606934,left_up
182986, 0.000000, 0.844482, 0.169556, 0.107788, 24.475105, -62.561050, 33.020020,left_up
183006, 0.000000, 0.862793, 0.174072, 0.065430, 2.258301, -54.626480, 33.691406,left_up
183026, 0.000000, 0.861328, 0.128784, -0.000732, -18.981934, -45.227066, 32.409668,left_up
183046, 0.000000, 0.864136, 0.066040, -0.073120, -40.710449, -33.996582, 30.029305,left_up
183066, 0.000000, 0.886597, 0.008057, -0.146851, -56.457535, -18.188477, 23.925789,left_up
